company_name:ID,number_laid_off,date_of,percentage_of_company,stage,:LABEL
Vedantu,100,2022-08-02,,Series E,COMPANY
Seegrid,90,2022-08-02,,Unknown,COMPANY
Nylas,80,2022-08-02,0.25,Series C,COMPANY
Outreach,60,2022-08-02,0.05,Series G,COMPANY
Sendy,54,2022-08-02,0.2,Series B,COMPANY
The Predictive Index,40,2022-08-02,,Acquired,COMPANY
Sendy,30,2022-08-02,0.1,Series B,COMPANY
Stedi,23,2022-08-02,0.3,Series B,COMPANY
Glossier,19,2022-08-02,0.08,Series E,COMPANY
Hash,58,2022-08-01,0.5,Series C,COMPANY
Metigy,75,2022-07-31,1.0,Series B,COMPANY
Vee,16,2022-07-31,0.32,Seed,COMPANY
Ola,1000,2022-07-29,,Series J,COMPANY
Clearco,125,2022-07-29,0.25,Series C,COMPANY
Imperfect Foods,50,2022-07-29,,Series D,COMPANY
Shelf Engine,43,2022-07-29,,Series B,COMPANY
Quantcast,40,2022-07-29,0.06,Series C,COMPANY
Sherpa,22,2022-07-29,,Unknown,COMPANY
Ribbon,136,2022-07-28,,Series C,COMPANY
Career Karma,60,2022-07-28,0.33,Series B,COMPANY
Metromile,60,2022-07-28,0.2,Acquired,COMPANY
Laybuy,45,2022-07-28,,Post-IPO,COMPANY
Allbirds,23,2022-07-28,,Post-IPO,COMPANY
TextNow,22,2022-07-28,,Seed,COMPANY
Rivian,840,2022-07-27,0.06,Post-IPO,COMPANY
Vox Media,39,2022-07-27,0.02,Series F,COMPANY
Coinsquare,30,2022-07-27,0.24,Unknown,COMPANY
Skai,30,2022-07-27,0.04,Series E,COMPANY
Shopify,1000,2022-07-26,0.1,Post-IPO,COMPANY
McMakler,90,2022-07-26,,Unknown,COMPANY
Fiverr,60,2022-07-26,0.08,Post-IPO,COMPANY
InDebted,40,2022-07-26,0.17,Series B,COMPANY
Outbrain,38,2022-07-26,0.03,Post-IPO,COMPANY
Dover,23,2022-07-26,0.3,Series A,COMPANY
Immutable,20,2022-07-26,0.06,Series C,COMPANY
Zymergen,80,2022-07-25,,Acquired,COMPANY
Pear Therapeutics ,25,2022-07-25,0.09,Post-IPO,COMPANY
Soluto,120,2022-07-24,1.0,Acquired,COMPANY
Eucalyptus,50,2022-07-22,0.2,Series C,COMPANY
Workstream,45,2022-07-22,,Series B,COMPANY
Quanto,28,2022-07-22,0.22,Series A,COMPANY
Clarify Health,15,2022-07-22,0.05,Series D,COMPANY
Blockchain.com,150,2022-07-21,0.25,Series D,COMPANY
Callisto Media,140,2022-07-21,0.35,Series D,COMPANY
AppGate,130,2022-07-21,0.22,Post-IPO,COMPANY
WHOOP,95,2022-07-21,0.15,Series F,COMPANY
Rad Power Bikes,63,2022-07-21,0.1,Series D,COMPANY
Lunchbox,60,2022-07-21,0.33,Series B,COMPANY
RealSelf,11,2022-07-21,0.05,Series B,COMPANY
Just Eat Takeaway,390,2022-07-20,,Post-IPO,COMPANY
Flyhomes,200,2022-07-20,0.2,Series C,COMPANY
Varo,75,2022-07-20,,Series E,COMPANY
BlueStacks,60,2022-07-20,,Series C,COMPANY
Lyft,60,2022-07-20,0.02,Post-IPO,COMPANY
Introhive,57,2022-07-20,0.16,Series C,COMPANY
Zencity,30,2022-07-20,0.2,Unknown,COMPANY
Splice,23,2022-07-20,,Series D,COMPANY
Forma.ai,15,2022-07-20,0.09,Series B,COMPANY
Arc,13,2022-07-20,,Seed,COMPANY
Invitae,1000,2022-07-19,,Post-IPO,COMPANY
Olive,450,2022-07-19,0.31,Series H,COMPANY
M1,38,2022-07-19,,Series E,COMPANY
SellerX,28,2022-07-19,,Unknown,COMPANY
Stint,28,2022-07-19,0.2,Unknown,COMPANY
PACT Pharma,94,2022-07-18,,Series C,COMPANY
Gemini,68,2022-07-18,0.07,Unknown,COMPANY
Lusha,30,2022-07-18,0.1,Series B,COMPANY
Bright Money,100,2022-07-15,0.5,Series A,COMPANY
Project44,63,2022-07-15,0.05,Unknown,COMPANY
Heroes,24,2022-07-15,0.2,Unknown,COMPANY
Aspire,23,2022-07-15,,Series A,COMPANY
Zego,85,2022-07-14,0.17,Series C,COMPANY
The Mom Project,54,2022-07-14,0.15,Series C,COMPANY
Unstoppable Domains,42,2022-07-14,0.25,Series B,COMPANY
Kiavi,39,2022-07-14,0.07,Series E,COMPANY
Wave,300,2022-07-13,0.15,Series A,COMPANY
Tonal,262,2022-07-13,0.35,Series E,COMPANY
Fabric,120,2022-07-13,0.4,Series C,COMPANY
Bryter,100,2022-07-13,0.3,Series B,COMPANY
ChowNow,100,2022-07-13,0.2,Series C,COMPANY
Involves,70,2022-07-13,0.18,Unknown,COMPANY
100 Thieves,12,2022-07-13,,Series C,COMPANY
Nuro,7,2022-07-13,,Series D,COMPANY
Gopuff,1500,2022-07-12,0.1,Series H,COMPANY
Fraazo,150,2022-07-12,,Series B,COMPANY
Babylon,100,2022-07-12,,Post-IPO,COMPANY
Hubilo,45,2022-07-12,0.12,Series B,COMPANY
Hopin,242,2022-07-11,0.29,Series D,COMPANY
Alice,63,2022-07-11,,Series C,COMPANY
SundaySky,24,2022-07-11,0.13,Series D,COMPANY
PuduTech,1500,2022-07-08,,Series C,COMPANY
Butler Hospitality,1000,2022-07-08,1.0,Series B,COMPANY
Calibrate,156,2022-07-08,0.24,Series B,COMPANY
Argo AI,150,2022-07-07,0.05,Unknown,COMPANY
Next Insurance,150,2022-07-07,0.17,Series E,COMPANY
Adwerx,40,2022-07-07,,Unknown,COMPANY
Emotive,30,2022-07-07,0.18,Series B,COMPANY
Remote,100,2022-07-06,0.09,Series C,COMPANY
Shopify,50,2022-07-06,,Post-IPO,COMPANY
Anodot,35,2022-07-06,0.27,Series C,COMPANY
SQream,30,2022-07-06,0.18,Series B,COMPANY
Loft,384,2022-07-05,0.12,Unknown,COMPANY
Bizzabo,120,2022-07-05,0.3,Series E,COMPANY
eToro,100,2022-07-05,0.06,Unknown,COMPANY
Verbit,80,2022-07-05,0.1,Series E,COMPANY
Outschool,31,2022-07-05,0.18,Series D,COMPANY
Bullish,30,2022-07-05,0.08,Unknown,COMPANY
Transmit Security,27,2022-07-05,0.07,Series A,COMPANY
Thimble,20,2022-07-05,0.33,Series A,COMPANY
Syte,13,2022-07-05,0.08,Series C,COMPANY
Lightricks,80,2022-07-04,0.12,Series D,COMPANY
Chessable,29,2022-07-04,,Acquired,COMPANY
Sendle,27,2022-07-04,0.12,Series C,COMPANY
Lendis,18,2022-07-04,0.15,Series A,COMPANY
Gorillas,540,2022-07-03,,Series C,COMPANY
Celsius,150,2022-07-03,0.25,Series B,COMPANY
WanderJaunt,85,2022-07-01,1.0,Series B,COMPANY
Canoo,58,2022-07-01,0.06,Post-IPO,COMPANY
Bamboo Health,52,2022-07-01,,Unknown,COMPANY
Teleport,15,2022-07-01,0.06,Series C,COMPANY
Enjoy,400,2022-06-30,0.18,Post-IPO,COMPANY
Crejo.Fun,170,2022-06-30,1.0,Seed,COMPANY
Stash Financial,40,2022-06-30,0.08,Unknown,COMPANY
Nate,30,2022-06-30,0.2,Series A,COMPANY
Snyk,30,2022-06-30,,Series F,COMPANY
Stream,20,2022-06-30,0.12,Series B,COMPANY
Finleap Connect,14,2022-06-30,0.1,Series A,COMPANY
Abra,12,2022-06-30,0.05,Series C,COMPANY
Toppr,350,2022-06-29,,Acquired,COMPANY
Unity,200,2022-06-29,0.04,Post-IPO,COMPANY
Niantic,85,2022-06-29,0.08,Series D,COMPANY
AvantStay,80,2022-06-29,,Unknown,COMPANY
Qumulo,80,2022-06-29,0.19,Series E,COMPANY
Clutch,76,2022-06-29,0.22,Series B,COMPANY
Parallel Wireless,60,2022-06-29,,Unknown,COMPANY
Oye Rickshaw,40,2022-06-29,0.2,Unknown,COMPANY
Rows,18,2022-06-29,0.3,Series B,COMPANY
Baton,16,2022-06-29,0.25,Series A,COMPANY
Substack,13,2022-06-29,0.14,Series B,COMPANY
Huobi,300,2022-06-28,0.3,Unknown,COMPANY
WhiteHat Jr,300,2022-06-28,,Acquired,COMPANY
StockX,120,2022-06-28,0.08,Series E,COMPANY
Sidecar Health,110,2022-06-28,0.4,Series C,COMPANY
StockX,80,2022-06-28,,Series E,COMPANY
Vezeeta,50,2022-06-28,0.1,Series D,COMPANY
Bright Machines,30,2022-06-28,0.08,Unknown,COMPANY
HealthMatch,18,2022-06-28,0.5,Series B,COMPANY
AppLovin,300,2022-06-27,0.12,Post-IPO,COMPANY
UiPath,210,2022-06-27,0.05,Post-IPO,COMPANY
Udaan,180,2022-06-27,0.04,Unknown,COMPANY
Cue,170,2022-06-27,,Post-IPO,COMPANY
Banxa,70,2022-06-27,0.3,Post-IPO,COMPANY
SafeGraph,27,2022-06-27,0.25,Series B,COMPANY
Postscript,43,2022-06-26,,Series C,COMPANY
Bitpanda,270,2022-06-24,0.27,Series C,COMPANY
Sunday,90,2022-06-24,0.23,Series A,COMPANY
Bestow,41,2022-06-24,0.14,Series C,COMPANY
Ethos Life,40,2022-06-24,0.12,Series D,COMPANY
Netflix,300,2022-06-23,0.03,Post-IPO,COMPANY
Aura,70,2022-06-23,0.09,Series F,COMPANY
Pipl,22,2022-06-23,0.13,Unknown,COMPANY
Vouch,15,2022-06-23,0.07,Series C,COMPANY
Voyage SMS,8,2022-06-23,0.13,Unknown,COMPANY
MasterClass,120,2022-06-22,0.2,Series E,COMPANY
IronNet,90,2022-06-22,0.35,Post-IPO,COMPANY
Bungalow,70,2022-06-22,,Series C,COMPANY
IronNet,55,2022-06-22,0.17,Post-IPO,COMPANY
Sprinklr,50,2022-06-22,,Post-IPO,COMPANY
Superpedestrian,35,2022-06-22,0.07,Series C,COMPANY
Voi,35,2022-06-22,0.1,Series D,COMPANY
Balto,30,2022-06-22,,Series B,COMPANY
Ritual,23,2022-06-22,0.16,Series C,COMPANY
Ebanx,340,2022-06-21,0.2,Series B,COMPANY
TaskUs,52,2022-06-21,0.0,Post-IPO,COMPANY
Community,40,2022-06-21,0.3,Unknown,COMPANY
Sourcegraph,24,2022-06-21,0.08,Series D,COMPANY
Bybit,600,2022-06-20,0.3,Unknown,COMPANY
SummerBio,101,2022-06-20,1.0,Unknown,COMPANY
Trax,100,2022-06-20,0.12,Series E,COMPANY
Aqgromalin,80,2022-06-20,0.3,Unknown,COMPANY
Bonsai,30,2022-06-20,0.55,Series A,COMPANY
Brighte,30,2022-06-20,0.15,Series C,COMPANY
CityMall,191,2022-06-19,0.3,Series C,COMPANY
BitOasis,9,2022-06-19,0.05,Series B,COMPANY
Unacademy,150,2022-06-18,0.03,Series H,COMPANY
Bytedance,150,2022-06-17,,Unknown,COMPANY
Socure,69,2022-06-17,0.13,Series E,COMPANY
Finite State,16,2022-06-17,0.2,Series B,COMPANY
JOKR,50,2022-06-16,0.05,Series B,COMPANY
Zumper,45,2022-06-16,0.15,Series D,COMPANY
PharmEasy,40,2022-06-16,,Unknown,COMPANY
Swappie,250,2022-06-15,0.17,Series C,COMPANY
Wealthsimple,159,2022-06-15,0.13,Unknown,COMPANY
Weee!,150,2022-06-15,0.1,Series E,COMPANY
Notarize,110,2022-06-15,0.25,Series D,COMPANY
Elementor,60,2022-06-15,0.15,Unknown,COMPANY
Tonkean,23,2022-06-15,0.23,Series B,COMPANY
Airtame,15,2022-06-15,,Unknown,COMPANY
OpenWeb,14,2022-06-15,0.05,Series E,COMPANY
Swyft,10,2022-06-15,0.3,Series A,COMPANY
Coinbase,1100,2022-06-14,0.18,Post-IPO,COMPANY
Redfin,470,2022-06-14,0.08,Post-IPO,COMPANY
Compass,450,2022-06-14,0.1,Post-IPO,COMPANY
Sami,75,2022-06-14,0.15,Unknown,COMPANY
Breathe,50,2022-06-14,0.33,Series A,COMPANY
Hunty,30,2022-06-14,,Seed,COMPANY
TIFIN,24,2022-06-14,0.1,Series D,COMPANY
BlockFi,250,2022-06-13,0.2,Series E,COMPANY
Wave Sports and Entertainment,56,2022-06-13,0.33,Series B,COMPANY
Studio,33,2022-06-13,0.4,Series B,COMPANY
Crypto.com,260,2022-06-10,0.05,Unknown,COMPANY
FarEye,250,2022-06-10,0.3,Series E,COMPANY
Berlin Brands Group,100,2022-06-10,0.1,Unknown,COMPANY
Sanar,60,2022-06-10,0.2,Unknown,COMPANY
Freetrade,45,2022-06-10,0.15,Unknown,COMPANY
Albert,20,2022-06-10,0.08,Series C,COMPANY
OneTrust,950,2022-06-09,0.25,Series C,COMPANY
Stitch Fix,330,2022-06-09,0.15,Post-IPO,COMPANY
Daniel Wellington,200,2022-06-09,0.15,Unknown,COMPANY
Convoy,90,2022-06-09,0.07,Series E,COMPANY
Hologram,80,2022-06-09,0.4,Series B,COMPANY
Boozt,70,2022-06-09,0.05,Post-IPO,COMPANY
The Grommet,40,2022-06-09,1.0,Acquired,COMPANY
Stashaway,31,2022-06-09,0.14,Series D,COMPANY
Preply,26,2022-06-09,0.05,Series C,COMPANY
Sonder,250,2022-06-08,0.21,Post-IPO,COMPANY
Kavak,150,2022-06-08,,Series E,COMPANY
Truepill,150,2022-06-08,0.15,Series D,COMPANY
iPrice Group,50,2022-06-08,0.2,Unknown,COMPANY
Cazoo,750,2022-06-07,0.15,Post-IPO,COMPANY
Cazoo,750,2022-06-07,0.15,Post-IPO,COMPANY
Rupeek,180,2022-06-07,0.15,Unknown,COMPANY
Lummo,150,2022-06-07,,Series C,COMPANY
Bird,138,2022-06-07,0.23,Post-IPO,COMPANY
ID.me,130,2022-06-07,,Unknown,COMPANY
KiwiCo,40,2022-06-07,,Unknown,COMPANY
Clearco,60,2022-06-06,,Series C,COMPANY
Dutchie,50,2022-06-06,0.07,Series D,COMPANY
Eruditus,40,2022-06-04,,Series E,COMPANY
Afterverse,60,2022-06-03,0.2,Unknown,COMPANY
Superhuman,23,2022-06-03,0.22,Series C,COMPANY
Food52,21,2022-06-03,0.15,Acquired,COMPANY
Carbon Health,250,2022-06-02,0.08,Series D,COMPANY
Favo,170,2022-06-02,,Series A,COMPANY
PolicyGenius,170,2022-06-02,0.25,Series E,COMPANY
Yojak,140,2022-06-02,0.5,Seed,COMPANY
Envato,100,2022-06-02,,Unknown,COMPANY
Gemini,100,2022-06-02,0.1,Unknown,COMPANY
Stord,59,2022-06-02,0.08,Series D,COMPANY
Gather,30,2022-06-02,0.33,Series B,COMPANY
Shef,29,2022-06-02,,Series A,COMPANY
IRL,25,2022-06-02,0.25,Series C,COMPANY
TomTom,500,2022-06-01,0.1,Post-IPO,COMPANY
Cybereason,100,2022-06-01,0.06,Series F,COMPANY
Udayy,100,2022-06-01,1.0,Seed,COMPANY
2TM,90,2022-06-01,0.12,Unknown,COMPANY
Curve,65,2022-06-01,0.1,Series C,COMPANY
Loom,34,2022-06-01,0.14,Series C,COMPANY
Skillshare,31,2022-06-01,,Unknown,COMPANY
Impala,30,2022-06-01,0.35,Series B,COMPANY
Eaze,25,2022-06-01,,Series D,COMPANY
Playtika,250,2022-05-31,0.06,Post-IPO,COMPANY
Replicated,50,2022-05-31,,Series C,COMPANY
Tomo,44,2022-05-31,0.33,Series A,COMPANY
Getta,30,2022-05-31,,Series A,COMPANY
BookClub,12,2022-05-31,0.25,Series A,COMPANY
SWVL,400,2022-05-30,0.32,Post-IPO,COMPANY
Mobile Premier League,100,2022-05-30,0.1,Series E,COMPANY
SumUp,100,2022-05-30,0.03,Unknown,COMPANY
FrontRow,145,2022-05-27,0.3,Series A,COMPANY
Daloopa,40,2022-05-27,,Series A,COMPANY
Uncapped,29,2022-05-27,0.26,Unknown,COMPANY
VTEX,200,2022-05-26,0.13,Post-IPO,COMPANY
Bitso,80,2022-05-26,0.11,Series C,COMPANY
Foodpanda,80,2022-05-26,,Acquired,COMPANY
Dazn,50,2022-05-26,0.02,Unknown,COMPANY
Lacework,300,2022-05-25,0.2,Series D,COMPANY
Bolt,240,2022-05-25,0.27,Series E,COMPANY
PeerStreet,75,2022-05-25,,Series C,COMPANY
Kontist,50,2022-05-25,0.25,Series B,COMPANY
Nuri,45,2022-05-25,0.2,Series B,COMPANY
Coterie Insurance,30,2022-05-25,0.2,Series B,COMPANY
Gorillas,300,2022-05-24,0.5,Series C,COMPANY
Zenius,200,2022-05-24,,Series B,COMPANY
The Zebra,40,2022-05-24,,Series D,COMPANY
Klarna,700,2022-05-23,0.1,Unknown,COMPANY
PayPal,83,2022-05-23,,Post-IPO,COMPANY
Buenbit,80,2022-05-23,0.45,Series A,COMPANY
BeyondMinds,65,2022-05-23,1.0,Series A,COMPANY
ClickUp,60,2022-05-23,0.07,Series C,COMPANY
Airtime,30,2022-05-23,0.2,Series B,COMPANY
MFine,600,2022-05-21,0.75,Series C,COMPANY
Latch,130,2022-05-20,0.28,Post-IPO,COMPANY
Outside,87,2022-05-20,0.15,Series B,COMPANY
Skillz,70,2022-05-20,0.1,Post-IPO,COMPANY
Cars24,600,2022-05-19,0.06,Series G,COMPANY
Vedantu,424,2022-05-18,0.07,Series E,COMPANY
Netflix,150,2022-05-17,0.01,Post-IPO,COMPANY
Kry,100,2022-05-17,0.1,Series D,COMPANY
Picsart,90,2022-05-17,0.08,Series C,COMPANY
Zak,100,2022-05-16,0.4,Series A,COMPANY
AliExpress Russia,400,2022-05-14,0.4,Acquired,COMPANY
Thirty Madison,24,2022-05-14,,Acquired,COMPANY
CommonBond,22,2022-05-13,,Series D,COMPANY
Zwift,150,2022-05-12,,Series C,COMPANY
Section4,32,2022-05-12,,Series A,COMPANY
DataRobot,70,2022-05-11,0.07,Series G,COMPANY
Carvana,2500,2022-05-10,0.12,Post-IPO,COMPANY
Doma,310,2022-05-10,0.15,Post-IPO,COMPANY
Pollen,200,2022-05-10,0.33,Series C,COMPANY
Latch,30,2022-05-10,0.06,Post-IPO,COMPANY
Vroom,270,2022-05-09,0.14,Post-IPO,COMPANY
Reef,750,2022-05-06,0.05,Unknown,COMPANY
divvyDOSE,62,2022-05-06,,Acquired,COMPANY
Vedantu,200,2022-05-05,0.03,Series E,COMPANY
Mural,90,2022-05-05,0.1,Series C,COMPANY
On Deck,72,2022-05-05,0.25,Series A,COMPANY
SEND,300,2022-05-04,1.0,Seed,COMPANY
Colossus,97,2022-05-04,,Series A,COMPANY
Cameo,87,2022-05-04,0.25,Unknown,COMPANY
Mainstreet,45,2022-05-04,0.3,Series A,COMPANY
Ideoclick,40,2022-05-04,,Series A,COMPANY
Vise,25,2022-05-04,,Series C,COMPANY
Avo,500,2022-05-01,0.67,Series B,COMPANY
Noom,495,2022-04-29,,Series F,COMPANY
Domestika,150,2022-04-28,0.19,Series D,COMPANY
Netflix,25,2022-04-28,,Post-IPO,COMPANY
Wahoo Fitness,50,2022-04-27,,Unknown,COMPANY
Robinhood,340,2022-04-26,0.09,Post-IPO,COMPANY
Bonsai,29,2022-04-26,0.34,Series A,COMPANY
Clyde,22,2022-04-25,,Series B,COMPANY
Xiaohongshu,180,2022-04-21,0.09,Series E,COMPANY
Facily,260,2022-04-20,0.3,Series D,COMPANY
Lemonade,52,2022-04-20,,Post-IPO,COMPANY
Blend,200,2022-04-19,0.1,Post-IPO,COMPANY
QuintoAndar,160,2022-04-19,0.04,Series E,COMPANY
Loft,159,2022-04-19,,Unknown,COMPANY
Humble,10,2022-04-15,,Acquired,COMPANY
Ahead,44,2022-04-14,1.0,Unknown,COMPANY
Rad Power Bikes,100,2022-04-12,0.14,Series D,COMPANY
Meesho,150,2022-04-11,,Series F,COMPANY
Food52,20,2022-04-08,0.1,Acquired,COMPANY
Unacademy,1000,2022-04-07,0.17,Series H,COMPANY
Goodfood,70,2022-04-07,,Post-IPO,COMPANY
Workrise,450,2022-04-05,,Series E,COMPANY
BitMEX,75,2022-04-04,0.25,Seed,COMPANY
Legible,23,2022-04-04,0.38,Post-IPO,COMPANY
Lightico,20,2022-03-31,,Series B,COMPANY
Sea,350,2022-03-30,,Post-IPO,COMPANY
Rasa,59,2022-03-30,0.4,Series B,COMPANY
Gopuff,450,2022-03-29,0.03,Series H,COMPANY
Thinkific,100,2022-03-29,0.2,Post-IPO,COMPANY
Furlenco,180,2022-03-26,,Series D,COMPANY
Storytel,100,2022-03-17,0.1,Post-IPO,COMPANY
Curology,150,2022-03-16,,Series D,COMPANY
Trell,300,2022-03-15,0.5,Series B,COMPANY
Knock,115,2022-03-15,0.46,Unknown,COMPANY
Better.com,3000,2022-03-08,0.33,Unknown,COMPANY
Adaptive Biotechnologies,100,2022-03-08,0.12,Post-IPO,COMPANY
Hyperscience,100,2022-03-03,0.25,Series E,COMPANY
WeDoctor,500,2022-03-02,,Series F,COMPANY
Wish,190,2022-03-01,0.15,Post-IPO,COMPANY
OKCredit,30,2022-02-24,,Series B,COMPANY
Lido,150,2022-02-21,,Series A,COMPANY
Virgin Hyperloop,111,2022-02-21,0.5,Unknown,COMPANY
Trustly,120,2022-02-17,,Acquired,COMPANY
Liv Up,100,2022-02-16,0.15,Series D,COMPANY
Homie,119,2022-02-14,0.29,Series B,COMPANY
Hopin,138,2022-02-10,0.12,Series D,COMPANY
Daily Harvest,60,2022-02-10,0.2,Series D,COMPANY
Peloton,2800,2022-02-08,0.2,Post-IPO,COMPANY
Rhino,57,2022-02-03,0.2,Unknown,COMPANY
Gopuff,100,2022-01-26,,Series H,COMPANY
Glossier,80,2022-01-26,0.33,Series E,COMPANY
Root Insurance,330,2022-01-20,,Post-IPO,COMPANY
Delivery Hero,300,2021-12-22,,Post-IPO,COMPANY
Better.com,900,2021-12-01,0.09,Unknown,COMPANY
BitTitan,70,2021-11-18,0.27,Acquired,COMPANY
Zillow,2000,2021-11-02,0.25,Post-IPO,COMPANY
InVision,22,2021-10-05,,Unknown,COMPANY
Zymergen,120,2021-09-23,,Post-IPO,COMPANY
Treehouse,41,2021-09-14,0.9,Series B,COMPANY
Tanium,30,2021-08-30,,Unknown,COMPANY
Flockjay,37,2021-08-24,0.5,Series A,COMPANY
Bytedance,1800,2021-08-05,,Unknown,COMPANY
Pagarbook,80,2021-07-26,,Series A,COMPANY
Katerra,2434,2021-06-01,1.0,Unknown,COMPANY
Lambda School,65,2021-04-29,,Series C,COMPANY
Patreon,36,2021-04-26,,Series D,COMPANY
New Relic,160,2021-04-06,0.07,Post-IPO,COMPANY
HuffPo,47,2021-03-09,,Acquired,COMPANY
Ninjacart,200,2021-02-23,,Unknown,COMPANY
Bounce,200,2021-02-22,0.4,Series D,COMPANY
ThredUp,243,2021-02-09,,Series F,COMPANY
Indigo,80,2021-02-09,,Series F,COMPANY
Limelight,13,2021-02-04,1.0,Unknown,COMPANY
Quandoo,87,2021-02-03,0.2,Acquired,COMPANY
Hubba,45,2021-02-01,1.0,Series B,COMPANY
Bytedance,1800,2021-01-27,,Unknown,COMPANY
Privitar,20,2021-01-27,,Series C,COMPANY
Shutterfly,800,2021-01-25,,Acquired,COMPANY
Postmates,180,2021-01-23,0.15,Acquired,COMPANY
Instacart,1877,2021-01-21,,Unknown,COMPANY
Pocketmath,21,2021-01-20,1.0,Unknown,COMPANY
Dropbox,315,2021-01-13,0.15,Post-IPO,COMPANY
WhiteHat Jr,1800,2021-01-06,,Acquired,COMPANY
Pulse Secure,78,2020-12-23,,Acquired,COMPANY
Breather,120,2020-12-16,0.8,Series D,COMPANY
Actifio,54,2020-12-16,,Acquired,COMPANY
OYO,600,2020-12-08,,Series F,COMPANY
Aya,5,2020-11-19,0.25,Seed,COMPANY
Bridge Connector,154,2020-11-17,1.0,Series B,COMPANY
Tidepool,18,2020-11-17,0.4,Unknown,COMPANY
Worksmith,30,2020-11-09,0.5,Unknown,COMPANY
LivePerson,30,2020-11-01,,Post-IPO,COMPANY
Remedy,82,2020-10-29,,Series A,COMPANY
Knotel,20,2020-10-29,0.08,Series C,COMPANY
CodeCombat,8,2020-10-23,,Series A,COMPANY
GetYourGuide,90,2020-10-14,0.17,Series E,COMPANY
OLX India,250,2020-10-10,,Acquired,COMPANY
Alto Pharmacy,47,2020-09-29,0.06,Series D,COMPANY
NS8,240,2020-09-11,0.95,Series A,COMPANY
Bleacher Report,20,2020-09-11,,Acquired,COMPANY
Waze,30,2020-09-09,0.054,Acquired,COMPANY
Big Fish Games,250,2020-09-01,,Acquired,COMPANY
GoBear,22,2020-09-01,0.11,Unknown,COMPANY
MakeMyTrip,350,2020-08-31,0.1,Post-IPO,COMPANY
Salesforce,1000,2020-08-26,0.0185,Post-IPO,COMPANY
Superloop,30,2020-08-24,,Post-IPO,COMPANY
Docly,8,2020-08-19,0.8,Seed,COMPANY
Shopify,30,2020-08-14,,Post-IPO,COMPANY
Mozilla,250,2020-08-11,0.25,Unknown,COMPANY
Eatsy,20,2020-08-08,1.0,Seed,COMPANY
Glossier,150,2020-08-07,0.38,Series D,COMPANY
Thriver,75,2020-08-06,0.5,Series B,COMPANY
Vesta,56,2020-08-05,,Unknown,COMPANY
Booking.com,4375,2020-07-30,0.25,Acquired,COMPANY
Buy.com / Rakuten,87,2020-07-30,1.0,Acquired,COMPANY
Procore,180,2020-07-28,0.09,Unknown,COMPANY
Swiggy,350,2020-07-27,0.05,Series I,COMPANY
Zeitgold,75,2020-07-27,0.72,Series B,COMPANY
Checkr,64,2020-07-23,0.12,Series D,COMPANY
LinkedIn,960,2020-07-21,0.06,Acquired,COMPANY
Lighter Capital,22,2020-07-20,0.49,Series B,COMPANY
Curefit,120,2020-07-17,,Series D,COMPANY
Optimizely,60,2020-07-15,0.15,Series D,COMPANY
Skyscanner,300,2020-07-14,0.2,Acquired,COMPANY
Yelp,63,2020-07-13,,Post-IPO,COMPANY
Bizongo,140,2020-07-10,,Series C,COMPANY
Zilingo,100,2020-07-09,0.12,Series D,COMPANY
PaySense,40,2020-07-09,,Acquired,COMPANY
Funding Circle,85,2020-07-08,,Post-IPO,COMPANY
The Wing,56,2020-07-01,,Series C,COMPANY
Sharethrough,18,2020-07-01,,Series D,COMPANY
Kongregate,12,2020-07-01,,Series C,COMPANY
Havenly,5,2020-07-01,,Series C,COMPANY
G2,17,2020-06-30,0.05,Series C,COMPANY
Katerra,400,2020-06-29,0.07,Series E,COMPANY
Bounce,130,2020-06-29,0.22,Series D,COMPANY
Argo AI,100,2020-06-29,,Unknown,COMPANY
Bossa Nova,61,2020-06-29,,Unknown,COMPANY
New Relic,20,2020-06-29,,Post-IPO,COMPANY
GoDaddy,451,2020-06-24,0.06,Post-IPO,COMPANY
Sonos,174,2020-06-24,0.12,Post-IPO,COMPANY
Gojek,430,2020-06-23,0.09,Series F,COMPANY
ScaleFactor,90,2020-06-23,0.9,Series C,COMPANY
Dark,6,2020-06-23,1.0,Seed,COMPANY
Intuit,715,2020-06-22,0.07,Post-IPO,COMPANY
WeWork,200,2020-06-19,,Series H,COMPANY
Atlas Obscura ,15,2020-06-18,,Series B,COMPANY
Navi,40,2020-06-17,0.25,Private Equity,COMPANY
PaisaBazaar,1500,2020-06-16,0.5,Series G,COMPANY
Grab,360,2020-06-16,0.05,Series I,COMPANY
Splunk,70,2020-06-16,0.01,Post-IPO,COMPANY
Redox,44,2020-06-16,0.25,Series C,COMPANY
Uber,225,2020-06-12,0.25,Post-IPO,COMPANY
SynapseFI,63,2020-06-12,0.48,Series B,COMPANY
ScaleFocus,120,2020-06-11,0.1,Unknown,COMPANY
Branch,3,2020-06-11,0.27,Seed,COMPANY
Her Campus Media,10,2020-06-10,0.18,Unknown,COMPANY
Integrate.ai,26,2020-06-09,,Unknown,COMPANY
The Athletic,46,2020-06-05,0.08,Series D,COMPANY
Ethos Life,18,2020-06-05,0.14,Series C,COMPANY
Lastline,50,2020-06-04,0.4,Series C,COMPANY
Builder,39,2020-06-04,0.14,Series A,COMPANY
Monzo,120,2020-06-03,0.08,Series F,COMPANY
Kitty Hawk,70,2020-06-03,,Unknown,COMPANY
SpotHero,40,2020-06-03,0.21,Series D,COMPANY
